scenario,year,fuel,avg_margin_eur_per_MWh,median_margin_eur_per_MWh,share_negative_margin_pct,share_stranded_pct,plants
Delayed transition,2031,gas,5.654173485555631,5.654173485555631,0.0,0.0,439
Delayed transition,2031,oil,-177.42183070937597,-177.42183070937597,100.0,100.0,106
Delayed transition,2032,coal,-70.33924249520201,-70.33924249520201,100.0,0.0,279
Delayed transition,2032,gas,-16.929562749522276,-16.929562749522276,100.0,0.0,439
Delayed transition,2032,oil,-215.10222626569234,-215.1022262656923,100.0,100.0,106
Delayed transition,2033,coal,-118.52983764575215,-118.52983764575214,100.0,100.0,279
Delayed transition,2033,gas,-39.51329898460019,-39.51329898460019,100.0,0.0,439
Delayed transition,2033,oil,-252.78262182200857,-252.78262182200857,100.0,100.0,106
Delayed transition,2034,coal,-166.72043279630213,-166.72043279630213,100.0,100.0,279
Delayed transition,2034,gas,-62.09703521967805,-62.09703521967804,100.0,100.0,439
Delayed transition,2034,oil,-290.4630173783249,-290.4630173783249,100.0,100.0,106
Delayed transition,2035,coal,-214.9110279468522,-214.9110279468522,100.0,100.0,279
Delayed transition,2035,gas,-84.68077145475593,-84.68077145475593,100.0,100.0,439
Delayed transition,2035,oil,-328.1434129346412,-328.14341293464116,100.0,100.0,106
Delayed transition,2036,coal,-253.79590109928245,-253.79590109928245,100.0,100.0,279
Delayed transition,2036,gas,-101.80110773066005,-101.80110773066005,100.0,100.0,439
Delayed transition,2036,oil,-363.89900001719394,-363.89900001719394,100.0,100.0,106
Delayed transition,2037,coal,-292.6807742517126,-292.6807742517126,100.0,100.0,279
Delayed transition,2037,gas,-118.92144400656416,-118.92144400656416,100.0,100.0,439
Delayed transition,2037,oil,-399.65458709974666,-399.65458709974666,100.0,100.0,106
Delayed transition,2038,coal,-331.5656474041427,-331.5656474041427,100.0,100.0,279
Delayed transition,2038,gas,-136.04178028246818,-136.04178028246818,100.0,100.0,439
Delayed transition,2038,oil,-435.41017418229933,-435.41017418229933,100.0,100.0,106
Delayed transition,2039,coal,-370.4505205565729,-370.4505205565729,100.0,100.0,279
Delayed transition,2039,gas,-153.16211655837233,-153.16211655837233,100.0,100.0,439
Delayed transition,2039,oil,-471.1657612648521,-471.1657612648521,100.0,100.0,106
Delayed transition,2040,coal,-409.33539370900303,-409.33539370900303,100.0,100.0,279
Delayed transition,2040,gas,-170.2824528342764,-170.2824528342764,100.0,100.0,439
Delayed transition,2040,oil,-506.9213483474049,-506.9213483474049,100.0,100.0,106
Delayed transition,2041,coal,-452.00301536363463,-452.00301536363463,100.0,100.0,279
Delayed transition,2041,gas,-191.9785144095341,-191.9785144095341,100.0,100.0,439
Delayed transition,2041,oil,-547.4272376137401,-547.4272376137401,100.0,100.0,106
Delayed transition,2042,coal,-494.67063701826635,-494.67063701826635,100.0,100.0,279
Delayed transition,2042,gas,-213.6745759847919,-213.6745759847919,100.0,100.0,439
Delayed transition,2042,oil,-587.9331268800754,-587.9331268800754,100.0,100.0,106
Delayed transition,2043,coal,-537.338258672898,-537.338258672898,100.0,100.0,279
Delayed transition,2043,gas,-235.3706375600496,-235.3706375600496,100.0,100.0,439
Delayed transition,2043,oil,-628.4390161464106,-628.4390161464106,100.0,100.0,106
Delayed transition,2044,coal,-580.0058803275297,-580.0058803275297,100.0,100.0,279
Delayed transition,2044,gas,-257.0666991353073,-257.0666991353073,100.0,100.0,439
Delayed transition,2044,oil,-668.9449054127458,-668.9449054127458,100.0,100.0,106
Delayed transition,2045,coal,-622.6735019821614,-622.6735019821614,100.0,100.0,279
Delayed transition,2045,gas,-278.76276071056503,-278.76276071056503,100.0,100.0,439
Delayed transition,2045,oil,-709.4507946790809,-709.4507946790809,100.0,100.0,106
Delayed transition,2046,coal,-666.7598034071851,-666.7598034071851,100.0,100.0,279
Delayed transition,2046,gas,-299.7047611923699,-299.7047611923699,100.0,100.0,439
Delayed transition,2046,oil,-749.052896928584,-749.052896928584,100.0,100.0,106
Delayed transition,2047,coal,-710.8461048322089,-710.8461048322089,100.0,100.0,279
Delayed transition,2047,gas,-320.64676167417485,-320.64676167417485,100.0,100.0,439
Delayed transition,2047,oil,-788.6549991780872,-788.6549991780872,100.0,100.0,106
Delayed transition,2048,coal,-754.9324062572327,-754.9324062572327,100.0,100.0,279
Delayed transition,2048,gas,-341.58876215597974,-341.58876215597974,100.0,100.0,439
Delayed transition,2048,oil,-828.2571014275903,-828.2571014275903,100.0,100.0,106
Delayed transition,2049,coal,-799.0187076822567,-799.0187076822567,100.0,100.0,279
Delayed transition,2049,gas,-362.53076263778473,-362.53076263778473,100.0,100.0,439
Delayed transition,2049,oil,-867.8592036770935,-867.8592036770935,100.0,100.0,106
Delayed transition,2050,coal,-843.1050091072805,-843.1050091072805,100.0,100.0,279
Delayed transition,2050,gas,-383.4727631195896,-383.4727631195896,100.0,100.0,439
Delayed transition,2050,oil,-907.4613059265969,-907.4613059265969,100.0,100.0,106
Net Zero 2050,2020,coal,49.60181583729613,49.60181583729613,0.0,0.0,279
Net Zero 2050,2020,gas,56.24725666092142,56.24725666092142,0.0,0.0,439
Net Zero 2050,2020,oil,-78.00425315011574,-78.00425315011574,100.0,0.0,106
